Fear/Resentment,"Affected Person,Institution",Cause/Action,My Part/Character Defect,Ideal Action/Correction
Fear of Rejection,"Jenna, Step-Dad, Others, Sales, Work, Loved Ones, Friends, Opportunities, Situations, Future",Uncertainty about her feelings/intentions,"Self-pity, Dishonesty (with self)",Seek clarity and accept the truth
Fear my loved ones aren't being truthful with me,"Jenna, Loved Ones, Dad, Step-Dad",This past week involving my family and them trying to make sure I was alright,"Insecurity, Control, Dishonesty (with self), Anxiety, Fear of the Unknown, Over-involvement, Mistrust, Impatience","Focus on own integrity, Let go of need to control her truth"
Fear Jenna will snap and change her mind,Jenna,Past experience of sudden changes or unpredictability,"Anxiety, Fear of the Unknown","Live in the present, Practice acceptance"
Fear she's not actually happy,Jenna,Feeling responsible for her happiness,"Self-centeredness, Over-involvement","Focus on own happiness, allow her her own journey"
Fear of being a fool in a confident choice,Self,Making decisions that might fail or be judged,"Pride, Fear of judgment","Practice humility, make choices based on principles, not outcome"
Fear of being misunderstood,Others,Not communicating clearly or fearing negative perception,"Fear of judgment, Egotism","Communicate clearly, accept that I can't control others' perceptions"
Fear my dad is a liar and doesn't have my best interests at heart,Dad,Past actions or perceived deception,"Mistrust, Lack of Faith","Practice forgiveness, set boundaries based on current reality"
Fear of being controlled by things not from God and in Jesus love,"Circumstances, External forces",Feeling powerless or susceptible to negative influence,"Spiritual apathy, Control","Surrender, strengthen spiritual practice and connection"
Fear my step-dad isn't going to get motivated to work with me,Step-Dad,Step-dad's perceived lack of motivation or effort,"Impatience, Control","Focus on my effort, accept his pace or non-involvement"
Fear of door to door sales and wasting time,"Work, Sales, Circumstances, Self, Activities",Uncertainty of success; discomfort with rejection,"Procrastination, Fear of rejection","Focus on effort and discipline, detach from outcome"
Fear of wasting my time on unfruitful things,"Self,Activities",Lack of clear direction or measurable results,"Perfectionism, Lack of faith","Set clear goals, trust in the process and higher guidance"
Fear of being seen as ungrateful for what I have been given,"Others,God",Worry about others' perception of my appreciation,"Vanity, People-pleasing",Focus on genuine gratitude and actions of service
Fear that the people I love don't love me back,Loved Ones,Insecurity about my worthiness of love,"Self-pity, Need for approval","Love freely without expectation, focus on self-worth"
Fear that people don't want to hang out with me,"Others,Friends",Worry about social acceptance or popularity,"Loneliness, Fear of isolation","Focus on being a good friend, seek out healthy connections"
Fear I'II be the 3rd servant who buried his gold or lost it,"God,Opportunities",Fear of failing to use talents or resources,"Sloth, Fear of failure","Take calculated risks, act decisively and responsibly"
Fear I won't succeed,"Self,Future",Doubt in personal abilities or circumstances,"Insecurity, Lack of Faith","Define success spiritually, commit to daily effort"
Fear that I over complicate things just trying to help,"Self,Situations",Tendency to interfere or create unnecessary complexity,"Self-importance, Controlling","Simplify approach, ask if help is needed before acting"
Fear when I confront someone or a situation that I forget to use honey instead of vinegar,"Self,Others",Past failures in communication; acting out of anger,"Intolerance, Self-will","Pause before reacting, pray for guidance and kindness"
Bi-Polar Diagnosis at Three Rivers,"Self, Loved Ones, Jenna",Being admitted to Psychiatric Facility against will,"Insecurity, Anxiety, Fear of the Unknown, Pride, Fear of judgment, Egotism, Vanity, Need for approval, Self-will","Seek clarity and accept the truth, Focus on own integrity, Live in the present, Practice acceptance, Focus on own happiness, Practice humility, Accept that I can't control others' perceptions"
My Mom,"Self, Mom",,,   `